序號,產品編號,品  名  規  格,數量 單位 未稅單價,,金額,,備註
1,D09P-D09S-03M,9P公-母 3M 裝配,18 條,117,,2106,
2,DB25P-T03M,DB25公滿針端子單頭線3M,6 條,890,,5340 訂購品,
3,9636-UL-3M,3P安規AC線18# 3M雙頭,12 條,136,,1632,
4,HD15PP+CORE-3M,VGA公-公3M+雙CORE 線,6 條,285,,1710,
5,MT-232-2,二埠RS232 DB9P切換開關,6 台,210,,1260,
6,PV1.25-3A,110全絕緣母端子x100 紅,6 包,83,,498,
7,7007-02PH,2P公1.3有耳小空中,120 PCS,2.8,,336,
8,7007-02RH,2P母1.3有耳小空中,120 PCS,2.8,,336,
9,7007-TBP,1.3 公端子66J6T (黃銅鍍錫),1200 PCS,0.68,,816,
10,7007-TBS,1.3 母端子66J5T (黃銅鍍錫),1200 PCS,0.68,,816,
11,CV-100B,100x2.5 束線帶x100黑,6 包,19,,114,
12,CV-165B,160x2.5 束線帶x100 黑,6 包,39,,234,
13,HC-2S,23x9x16紮線固定座*100pcs,6 包,123,,738 訂購品,
14,HC-25,25.8*25.8mm固定座*100,6 包,273,,1638 訂購品,
15,HC-101S,19x19mm配線固定座*100,6 包,216,,1296,
16,KKS-6B,6mm捲式紮線帶 10M 黑色,6 包,85,,510,
17,KKS-10B,黑色捲式紮線帶10mm 10M,6 包,90,,540,
18,KKS-8B,8mm捲式紮線帶 10M 黑色,6 包,85,,510,
19,SS03/2C-100M,.3mm*2C超軟線ROHSx100M,2 捲,1610,,3220,
20,SS03/3C-100M,.3mm*3C超軟線ROHSx100M,2 捲,1980,,3960 訂購品,
21,SS03/4C-100M,.3mm*4C超軟線ROHSx100M,3 捲,2730,,8190 訂購品,
22,SS03/6C-100M,.3mm*6C超軟線ROHSx100M,3 捲,3450,,10350 訂購品,
23,SS03/8C-100M,8C  0.3mm2軟電纜線100M,3 捲,5150,,15450 訂購品,
24,SS03/10C-100M,.3mm*10C超軟線ROHSx100M,2 捲,6110,,12220 訂購品,
25,SS03/12C-100M,.3mm*12C超軟線ROHSx100M,3 捲,7190,,21570 訂購品,
